pos_bin,n,signed_median,signed_p10,signed_p90,abs_median
0.00-0.05,1609174,0.3825257356511429,-5983.157678999796,6086.448597279165,1850.9381880138535
0.05-0.10,1164711,-2.4194931965321302,-5278.350076259114,5331.524444918381,1317.3076432491653
0.10-0.15,1084072,-8.106147752143443,-5217.597936128033,5160.867144860795,1097.3179797988269
0.15-0.20,1036454,-12.226083588131587,-5202.134111817122,5104.174689870937,966.5095368882176
0.20-0.25,1004998,-2.632639042334631,-5033.2493338387685,4937.589618957317,900.4310400504619
0.25-0.30,973390,0.11800786992534995,-4813.460685059079,4735.738924020994,870.6469129122561
0.30-0.35,953549,2.1878469921648502,-4438.375516629126,4337.323365930194,828.1444150162861
0.35-0.40,934255,2.623510181903839,-3934.5661115027024,3924.728814117236,780.6077199729625
0.40-0.45,923913,-0.8560532461851835,-3445.0464346547146,3382.080980643494,720.9772619400173
0.45-0.50,921580,3.8174762970302254,-2942.9119273862784,2913.682745299278,663.5158178532147
0.50-0.55,929746,2.092207230394706,-2528.339678616612,2465.9117888674373,613.1126044307603
0.55-0.60,945763,3.575814814772457,-2113.5046089481552,2130.0843202113215,564.1387971444055
0.60-0.65,976071,3.9311870229430497,-1819.2664311765693,1836.6729987175204,521.0039396814536
0.65-0.70,1018555,3.2390675756614655,-1576.8753608478698,1568.0462303731706,478.53753870900255
0.70-0.75,1077537,6.656132926233113,-1344.6057894792407,1366.6945377238096,435.1140388377826
0.75-0.80,1158276,6.927828200161457,-1140.025913392863,1160.0271492262837,390.02199337875936
0.80-0.85,1279245,7.7044621428940445,-948.4376963719376,962.7963201493036,346.3348143035546
0.85-0.90,1467311,5.338212152651977,-785.5539719560184,796.7245630398393,307.8258274681866
0.90-0.95,1833300,1.2036662903155957,-691.1047574928962,700.3844280445134,282.2016084692441
0.95-1.00,3355646,-6.397907520644367,-822.4259736069944,801.8533804314211,335.47191847025533
